,Title,Published_date,Views,Likes,Comments
0,The World's Biggest EDUCATIONAL FESTIVAL is Back 🚀 Check Description !!,2023-02-20T16:30:20Z,256427,13732,1040
1,VISHWAS DIWAS - 28th February || Join the Biggest EDUCATIONAL Festival of the World 🚀,2023-02-20T15:18:52Z,0,9495,0
2,Pagal Insaan Hi Itihas Badalta Hai !! #PWOnlyIAS #UPSCWallah,2023-02-20T05:30:15Z,219497,24827,152
3,JEE Main 1 RESULTS - एक बार फिर से PW की दहाड़ !! 🚀 | Physics Wallah JEE Main 2023,2023-02-07T17:31:52Z,518218,24321,1025
4,SHUNYA SE ALAKH TAK - Official Teaser | RELEASING on 10 Million 🚀 ft. @Alakh.Pandey,2023-01-29T14:51:42Z,1438591,67775,2469
5,PW Launching NEET PG 🔥🔥 @PWMedEd,2023-01-26T13:37:15Z,447493,21490,2243
6,BIGGEST SURPRISE For Medical Students 🔥🔥,2023-01-24T14:30:19Z,309792,20732,1263
7,क्या आपके शहर मे PW Vidyapeeth है? 🔥,2023-01-23T11:14:37Z,629813,51084,2286
8,PW Vidyapeeth in 45+ Cities 🔥 Address given in Description || ETOOS India is PW Now !!,2023-01-21T13:33:10Z,983713,45777,1992
9,DEPRESSION - Every Student should watch this video !! #PwiansGiveUpNahiKarte,2023-01-17T15:53:58Z,1338827,101839,6164
10,2022 Rewind - PHYSICS WALLAH | #PWiansGiveUpNahiKarte 🔥,2022-12-31T17:49:12Z,914926,40524,2983
11,A Humble REQUEST to NTA - NO 75% Criteria for JEE 2023 !!🙏,2022-12-20T14:11:06Z,896766,40568,3180
12,Launching UPSC Wallah हिन्दी माध्यम 🙏 Check Description !!,2022-11-26T14:30:59Z,330400,13526,1769
13,Ab MBA ki Baari 🔥 | Check Description!,2022-11-20T14:15:40Z,297926,12960,1909
14,Now Revolution in IIT-JAM and CSIR NET 🔥 | Link in Description,2022-11-15T15:26:54Z,199278,9013,1547
15,Launching 4 NEW Vidyapeeth in These Cities 🫣,2022-11-13T14:49:57Z,299802,13197,2716
16,अब बारी है  IIT JAM & CSIR NET की 🔥 | Link in Description 👇,2022-11-12T14:19:48Z,128760,7543,1648
17,Only for JEE Advanced ⚠️ Check Description !! 1ST TIME IN YOUTUBE 🔥,2022-11-10T13:50:46Z,350443,20089,2128
18,Launching SSC Wallah & Banking Wallah 🙏 Check Description !! करोड़ो लोगों के सपने की शुरुआत ⚡,2022-11-05T14:49:14Z,368150,18527,2932
